,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,kluster
919,326,2019-02-12,jakarta timur,"jakarta timur, kel. pekayon",7,0,60,0
920,327,2019-02-11,jakarta timur,"jakarta timur, kel. cipinang muara",13,0,40,0
921,328,2019-02-12,jakarta timur,"jakarta timur, kel. cipinang muara",13,0,40,0
922,329,2019-02-16,jakarta timur,"jakarta timur, kel. kampung melayu",4,1003,100,0
923,329,2019-02-16,jakarta timur,"jakarta timur, kel. kampung melayu",5,1003,100,0
924,329,2019-02-16,jakarta timur,"jakarta timur, kel. kampung melayu",7,1003,100,0
925,329,2019-02-16,jakarta timur,"jakarta timur, kel. kampung melayu",8,1003,100,0
926,330,2019-02-26,jakarta timur,"jakarta timur, kel. kampung melayu",4,1003,100,0
927,330,2019-02-26,jakarta timur,"jakarta timur, kel. kampung melayu",5,1003,100,0
928,330,2019-02-26,jakarta timur,"jakarta timur, kel. kampung melayu",7,1003,100,0
929,330,2019-02-26,jakarta timur,"jakarta timur, kel. kampung melayu",8,1003,100,0
930,331,2019-02-16,jakarta timur,"jakarta timur, kel. bidara cina",7,0,135,0
931,331,2019-02-16,jakarta timur,"jakarta timur, kel. bidara cina",11,0,135,0
932,332,2019-02-17,jakarta timur,"jakarta timur, kel. bidara cina",7,0,135,0
933,332,2019-02-17,jakarta timur,"jakarta timur, kel. bidara cina",11,0,135,0
934,333,2019-02-16,jakarta timur,"jakarta timur, kel balekambang",5,0,120,0
935,334,2019-02-16,jakarta timur,"jakarta timur, kel. cawang",1,0,80,0
936,334,2019-02-16,jakarta timur,"jakarta timur, kel. cawang",2,0,80,0
937,334,2019-02-16,jakarta timur,"jakarta timur, kel. cawang",3,0,80,0
938,334,2019-02-16,jakarta timur,"jakarta timur, kel. cawang",5,0,80,0
939,334,2019-02-16,jakarta timur,"jakarta timur, kel. cawang",8,0,80,0
940,335,2019-02-26,jakarta timur,"jakarta timur, kel. cawang",1,0,80,0
941,335,2019-02-26,jakarta timur,"jakarta timur, kel. cawang",2,0,80,0
942,335,2019-02-26,jakarta timur,"jakarta timur, kel. cawang",3,0,80,0
943,335,2019-02-26,jakarta timur,"jakarta timur, kel. cawang",5,0,80,0
944,335,2019-02-26,jakarta timur,"jakarta timur, kel. cawang",8,0,80,0
945,336,2019-02-16,jakarta timur,"jakarta timur, kel. cililitan",6,0,90,0
946,336,2019-02-16,jakarta timur,"jakarta timur, kel. cililitan",7,0,90,0
947,337,2019-02-26,jakarta timur,"jakarta timur, kel. cililitan",6,0,90,0
948,337,2019-02-26,jakarta timur,"jakarta timur, kel. cililitan",7,0,90,0
949,338,2019-03-26,jakarta pusat,"jakarta pusat, kel. kramat",1,0,20,0
950,339,2019-03-05,jakarta utara,"jakarta utara, kel. semper timur",3,0,50,0
951,339,2019-03-05,jakarta utara,"jakarta utara, kel. semper timur",9,0,50,0
952,340,2019-03-05,jakarta utara,"jakarta utara, kel. kalibaru",7,0,30,0
953,340,2019-03-05,jakarta utara,"jakarta utara, kel. kalibaru",8,0,30,0
954,340,2019-03-05,jakarta utara,"jakarta utara, kel. kalibaru",12,0,30,0
955,341,2019-03-05,jakarta utara,"jakarta utara, kel. cilincing",6,0,30,0
956,341,2019-03-05,jakarta utara,"jakarta utara, kel. cilincing",9,0,30,0
957,342,2019-03-05,jakarta utara,"jakarta utara, kel. rorotan",5,0,50,0
958,343,2019-03-05,jakarta utara,"jakarta utara, kel. pegangsaan dua",3,0,30,0
959,344,2019-03-05,jakarta utara,"jakarta utara, kel. rawa badak selatan",1,0,20,0
960,344,2019-03-05,jakarta utara,"jakarta utara, kel. rawa badak selatan",4,0,20,0
961,344,2019-03-05,jakarta utara,"jakarta utara, kel. rawa badak selatan",11,0,20,0
962,345,2019-03-05,jakarta utara,"jakarta utara, kel. ancol",5,0,30,0
963,345,2019-03-05,jakarta utara,"jakarta utara, kel. ancol",10,0,30,0
964,345,2019-03-05,jakarta utara,"jakarta utara, kel. ancol",12,0,30,0
965,346,2019-03-06,jakarta utara,"jakarta utara, kel. ancol",5,0,30,0
966,346,2019-03-06,jakarta utara,"jakarta utara, kel. ancol",10,0,30,0
967,346,2019-03-06,jakarta utara,"jakarta utara, kel. ancol",12,0,30,0
968,347,2019-03-05,jakarta utara,"jakarta utara, kel. pluit",1,0,40,0
969,347,2019-03-05,jakarta utara,"jakarta utara, kel. pluit",11,0,40,0
970,347,2019-03-05,jakarta utara,"jakarta utara, kel. pluit",22,0,40,0
971,348,2019-03-05,jakarta utara,"jakarta utara, kel. pejagalan",7,0,30,0
972,348,2019-03-05,jakarta utara,"jakarta utara, kel. pejagalan",15,0,30,0
973,349,2019-03-05,jakarta utara,"jakarta utara, kel. penjaringan",8,0,30,0
974,350,2019-03-05,jakarta utara,"jakarta utara, kel. kamal muara",3,0,50,0
975,351,2019-03-05,jakarta utara,"jakarta utara, kel. warakas",1,0,50,0
976,352,2019-03-05,jakarta utara,"jakarta utara, kel. kebon bawang",2,0,10,0
977,353,2019-03-05,jakarta utara,"jakarta utara, kel. sungai bambu",10,0,15,0
978,354,2019-03-05,jakarta utara,"jakarta utara, kel. tanjung priok",1,0,30,0
979,354,2019-03-05,jakarta utara,"jakarta utara, kel. tanjung priok",3,0,30,0
980,354,2019-03-05,jakarta utara,"jakarta utara, kel. tanjung priok",6,0,30,0
981,354,2019-03-05,jakarta utara,"jakarta utara, kel. tanjung priok",12,0,30,0
982,354,2019-03-05,jakarta utara,"jakarta utara, kel. tanjung priok",13,0,30,0
983,354,2019-03-05,jakarta utara,"jakarta utara, kel. tanjung priok",14,0,30,0
984,354,2019-03-05,jakarta utara,"jakarta utara, kel. tanjung priok",15,0,30,0
985,355,2019-03-05,jakarta barat,"jakarta barat, kel. kedoya utara",1,0,50,0
986,355,2019-03-05,jakarta barat,"jakarta barat, kel. kedoya utara",2,0,50,0
987,355,2019-03-05,jakarta barat,"jakarta barat, kel. kedoya utara",4,0,50,0
988,355,2019-03-05,jakarta barat,"jakarta barat, kel. kedoya utara",8,0,50,0
989,356,2019-03-05,jakarta barat,"jakarta barat, kel. kedoya selatan",2,0,25,0
990,357,2019-03-05,jakarta barat,"jakarta barat, kel. duri kepa",2,0,40,0
991,357,2019-03-05,jakarta barat,"jakarta barat, kel. duri kepa",3,0,40,0
992,357,2019-03-05,jakarta barat,"jakarta barat, kel. duri kepa",4,0,40,0
993,357,2019-03-05,jakarta barat,"jakarta barat, kel. duri kepa",5,0,40,0
994,357,2019-03-05,jakarta barat,"jakarta barat, kel. duri kepa",8,0,40,0
995,357,2019-03-05,jakarta barat,"jakarta barat, kel. duri kepa",9,0,40,0
996,357,2019-03-05,jakarta barat,"jakarta barat, kel. duri kepa",13,0,40,0
997,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",1,85,75,0
998,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",2,85,75,0
999,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",3,85,75,0
1000,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",4,85,75,0
1001,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",5,85,75,0
1002,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",6,85,75,0
1003,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",7,85,75,0
1004,358,2019-03-05,jakarta barat,"jakarta barat, kel. kedaung kali angke",8,85,75,0
1005,359,2019-03-05,jakarta barat,"jakarta barat, kel. rawa buaya",1,0,70,0
1006,359,2019-03-05,jakarta barat,"jakarta barat, kel. rawa buaya",2,0,70,0
