Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
46,5 februari 2018,jakarta selatan,"jakarta selatan, pondok labu",3,480,40 - 50 cm
47,6 februari 2018,jakarta selatan,"jakarta selatan, pondok labu",3,480,40 - 50 cm
48,5 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",01,2993,10 - 300 cm
48,5 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",02,2993,10 - 300 cm
49,6 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",01,2993,10 - 300 cm
49,6 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",02,2993,10 - 300 cm
50,7 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",01,2993,10 - 300 cm
50,7 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",02,2993,10 - 300 cm
51,8 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",01,2993,10 - 300 cm
51,8 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",02,2993,10 - 300 cm
52,9 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",01,2993,10 - 300 cm
52,9 februari 2018,jakarta selatan,"jakarta selatan, pangadegan",02,2993,10 - 300 cm
53,5 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",01,1509,10 - 250 cm
53,5 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",03,1509,10 - 250 cm
53,5 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",07,1509,10 - 250 cm
54,6 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",01,1509,10 - 250 cm
54,6 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",03,1509,10 - 250 cm
54,6 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",07,1509,10 - 250 cm
55,7 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",01,1509,10 - 250 cm
55,7 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",03,1509,10 - 250 cm
55,7 februari 2018,jakarta selatan,"jakarta selatan, rawa jati",07,1509,10 - 250 cm
56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",05,962,30 - 200 cm
56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",06,962,30 - 200 cm
56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",07,962,30 - 200 cm
56,5 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",08,962,30 - 200 cm
57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",05,962,30 - 200 cm
57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",06,962,30 - 200 cm
57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",07,962,30 - 200 cm
57,6 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",08,962,30 - 200 cm
58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",05,962,30 - 200 cm
58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",06,962,30 - 200 cm
58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",07,962,30 - 200 cm
58,7 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",08,962,30 - 200 cm
59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",05,962,30 - 200 cm
59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",06,962,30 - 200 cm
59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",07,962,30 - 200 cm
59,25 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",08,962,30 - 200 cm
60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",05,962,30 - 200 cm
60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",06,962,30 - 200 cm
60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",07,962,30 - 200 cm
60,26 februari 2018,jakarta selatan,"jakarta selatan, pejaten timur",08,962,30 - 200 cm
61,5 februari 2018,jakarta selatan,"jakarta selatan, kebon baru",10,0,20 - 80 cm
62,6 februari 2018,jakarta selatan,"jakarta selatan, kebon baru",10,0,20 - 80 cm
63,7 februari 2018,jakarta selatan,"jakarta selatan, kebon baru",10,0,20 - 80 cm
64,5 februari 2018,jakarta selatan,"jakarta selatan, manggarai",01,2347,30 - 200 cm
64,5 februari 2018,jakarta selatan,"jakarta selatan, manggarai",04,2347,30 - 200 cm
65,6 februari 2018,jakarta selatan,"jakarta selatan, manggarai",01,2347,30 - 200 cm
65,6 februari 2018,jakarta selatan,"jakarta selatan, manggarai",04,2347,30 - 200 cm
66,7 februari 2018,jakarta selatan,"jakarta selatan, manggarai",01,2347,30 - 200 cm
66,7 februari 2018,jakarta selatan,"jakarta selatan, manggarai",04,2347,30 - 200 cm
67,6 februari 2018,jakarta selatan,"jakarta selatan, bukit duri",10,0,10 - 40 cm
67,6 februari 2018,jakarta selatan,"jakarta selatan, bukit duri",11,0,10 - 40 cm
68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",02,0,50 - 200 cm
68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",03,0,50 - 200 cm
68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",04,0,50 - 200 cm
68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",06,0,50 - 200 cm
68,5 februari 2018,jakarta selatan,"jakarta selatan, lenteng agung",07,0,50 - 200 cm
69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",01,265,100 - 300 cm
69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",02,265,100 - 300 cm
69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",05,265,100 - 300 cm
69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",06,265,100 - 300 cm
69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",07,265,100 - 300 cm
69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",08,265,100 - 300 cm
69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",12,265,100 - 300 cm
70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",01,265,100 - 300 cm
70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",02,265,100 - 300 cm
