,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
248,69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",8,265,100 - 300 
249,69,5 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",12,265,100 - 300 
250,70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",1,265,100 - 300 
251,70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",2,265,100 - 300 
252,70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",5,265,100 - 300 
253,70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",6,265,100 - 300 
254,70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",7,265,100 - 300 
255,70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",8,265,100 - 300 
256,70,6 februari 2018,jakarta selatan,"jakarta selatan, srengseng sawah",12,265,100 - 300 
257,71,5 februari 2018,jakarta selatan,"jakarta selatan, bangka",2,0,30 - 40 
258,72,6 februari 2018,jakarta selatan,"jakarta selatan, bangka",2,0,30 - 40 
259,73,3 februari 2018,jakarta timur,"jakarta timur, rawa terate",4,0,10 - 120 
260,73,3 februari 2018,jakarta timur,"jakarta timur, rawa terate",5,0,10 - 120 
261,74,5 februari 2018,jakarta timur,"jakarta timur, rawa terate",4,0,10 - 120 
262,74,5 februari 2018,jakarta timur,"jakarta timur, rawa terate",5,0,10 - 120 
263,75,6 februari 2018,jakarta timur,"jakarta timur, rawa terate",4,0,10 - 120 
264,75,6 februari 2018,jakarta timur,"jakarta timur, rawa terate",5,0,10 - 120 
265,76,15 februari 2018,jakarta timur,"jakarta timur, rawa terate",4,0,10 - 120 
266,76,15 februari 2018,jakarta timur,"jakarta timur, rawa terate",5,0,10 - 120 
267,77,16 februari 2018,jakarta timur,"jakarta timur, rawa terate",4,0,10 - 120 
268,77,16 februari 2018,jakarta timur,"jakarta timur, rawa terate",5,0,10 - 120 
269,78,17 februari 2018,jakarta timur,"jakarta timur, rawa terate",4,0,10 - 120 
270,78,17 februari 2018,jakarta timur,"jakarta timur, rawa terate",5,0,10 - 120 
271,79,15 februari 2018,jakarta timur,"jakarta timur, cakung barat",3,56,30 - 70 
272,79,15 februari 2018,jakarta timur,"jakarta timur, cakung barat",7,56,30 - 70 
273,79,15 februari 2018,jakarta timur,"jakarta timur, cakung barat",8,56,30 - 70 
274,80,16 februari 2018,jakarta timur,"jakarta timur, cakung barat",3,56,30 - 70 
275,80,16 februari 2018,jakarta timur,"jakarta timur, cakung barat",7,56,30 - 70 
276,80,16 februari 2018,jakarta timur,"jakarta timur, cakung barat",8,56,30 - 70 
277,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",1,0,10 - 30 
278,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",2,0,10 - 30 
279,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",3,0,10 - 30 
280,81,15 februari 2018,jakarta timur,"jakarta timur, jatinegara",5,0,10 - 30 
