,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun
195,2018-02-08,jakarta selatan,"jakarta selatan, pangadegan",2,2993,300,2018
196,2018-02-09,jakarta selatan,"jakarta selatan, pangadegan",1,2993,300,2018
197,2018-02-09,jakarta selatan,"jakarta selatan, pangadegan",2,2993,300,2018
198,2018-02-05,jakarta selatan,"jakarta selatan, rawa jati",1,1509,250,2018
199,2018-02-05,jakarta selatan,"jakarta selatan, rawa jati",3,1509,250,2018
200,2018-02-05,jakarta selatan,"jakarta selatan, rawa jati",7,1509,250,2018
201,2018-02-06,jakarta selatan,"jakarta selatan, rawa jati",1,1509,250,2018
202,2018-02-06,jakarta selatan,"jakarta selatan, rawa jati",3,1509,250,2018
203,2018-02-06,jakarta selatan,"jakarta selatan, rawa jati",7,1509,250,2018
204,2018-02-07,jakarta selatan,"jakarta selatan, rawa jati",1,1509,250,2018
205,2018-02-07,jakarta selatan,"jakarta selatan, rawa jati",3,1509,250,2018
206,2018-02-07,jakarta selatan,"jakarta selatan, rawa jati",7,1509,250,2018
207,2018-02-05,jakarta selatan,"jakarta selatan, pejaten timur",5,962,200,2018
208,2018-02-05,jakarta selatan,"jakarta selatan, pejaten timur",6,962,200,2018
209,2018-02-05,jakarta selatan,"jakarta selatan, pejaten timur",7,962,200,2018
210,2018-02-05,jakarta selatan,"jakarta selatan, pejaten timur",8,962,200,2018
211,2018-02-06,jakarta selatan,"jakarta selatan, pejaten timur",5,962,200,2018
212,2018-02-06,jakarta selatan,"jakarta selatan, pejaten timur",6,962,200,2018
213,2018-02-06,jakarta selatan,"jakarta selatan, pejaten timur",7,962,200,2018
214,2018-02-06,jakarta selatan,"jakarta selatan, pejaten timur",8,962,200,2018
215,2018-02-07,jakarta selatan,"jakarta selatan, pejaten timur",5,962,200,2018
216,2018-02-07,jakarta selatan,"jakarta selatan, pejaten timur",6,962,200,2018
217,2018-02-07,jakarta selatan,"jakarta selatan, pejaten timur",7,962,200,2018
218,2018-02-07,jakarta selatan,"jakarta selatan, pejaten timur",8,962,200,2018
219,2018-02-25,jakarta selatan,"jakarta selatan, pejaten timur",5,962,200,2018
220,2018-02-25,jakarta selatan,"jakarta selatan, pejaten timur",6,962,200,2018
221,2018-02-25,jakarta selatan,"jakarta selatan, pejaten timur",7,962,200,2018
222,2018-02-25,jakarta selatan,"jakarta selatan, pejaten timur",8,962,200,2018
223,2018-02-26,jakarta selatan,"jakarta selatan, pejaten timur",5,962,200,2018
224,2018-02-26,jakarta selatan,"jakarta selatan, pejaten timur",6,962,200,2018
225,2018-02-26,jakarta selatan,"jakarta selatan, pejaten timur",7,962,200,2018
226,2018-02-26,jakarta selatan,"jakarta selatan, pejaten timur",8,962,200,2018
227,2018-02-05,jakarta selatan,"jakarta selatan, kebon baru",10,0,80,2018
228,2018-02-06,jakarta selatan,"jakarta selatan, kebon baru",10,0,80,2018
229,2018-02-07,jakarta selatan,"jakarta selatan, kebon baru",10,0,80,2018
230,2018-02-05,jakarta selatan,"jakarta selatan, manggarai",1,2347,200,2018
231,2018-02-05,jakarta selatan,"jakarta selatan, manggarai",4,2347,200,2018
232,2018-02-06,jakarta selatan,"jakarta selatan, manggarai",1,2347,200,2018
233,2018-02-06,jakarta selatan,"jakarta selatan, manggarai",4,2347,200,2018
234,2018-02-07,jakarta selatan,"jakarta selatan, manggarai",1,2347,200,2018
235,2018-02-07,jakarta selatan,"jakarta selatan, manggarai",4,2347,200,2018
236,2018-02-06,jakarta selatan,"jakarta selatan, bukit duri",10,0,40,2018
237,2018-02-06,jakarta selatan,"jakarta selatan, bukit duri",11,0,40,2018
238,2018-02-05,jakarta selatan,"jakarta selatan, lenteng agung",2,0,200,2018
239,2018-02-05,jakarta selatan,"jakarta selatan, lenteng agung",3,0,200,2018
240,2018-02-05,jakarta selatan,"jakarta selatan, lenteng agung",4,0,200,2018
241,2018-02-05,jakarta selatan,"jakarta selatan, lenteng agung",6,0,200,2018
242,2018-02-05,jakarta selatan,"jakarta selatan, lenteng agung",7,0,200,2018
243,2018-02-05,jakarta selatan,"jakarta selatan, srengseng sawah",1,265,300,2018
244,2018-02-05,jakarta selatan,"jakarta selatan, srengseng sawah",2,265,300,2018
245,2018-02-05,jakarta selatan,"jakarta selatan, srengseng sawah",5,265,300,2018
246,2018-02-05,jakarta selatan,"jakarta selatan, srengseng sawah",6,265,300,2018
247,2018-02-05,jakarta selatan,"jakarta selatan, srengseng sawah",7,265,300,2018
248,2018-02-05,jakarta selatan,"jakarta selatan, srengseng sawah",8,265,300,2018
249,2018-02-05,jakarta selatan,"jakarta selatan, srengseng sawah",12,265,300,2018
250,2018-02-06,jakarta selatan,"jakarta selatan, srengseng sawah",1,265,300,2018
251,2018-02-06,jakarta selatan,"jakarta selatan, srengseng sawah",2,265,300,2018
252,2018-02-06,jakarta selatan,"jakarta selatan, srengseng sawah",5,265,300,2018
253,2018-02-06,jakarta selatan,"jakarta selatan, srengseng sawah",6,265,300,2018
254,2018-02-06,jakarta selatan,"jakarta selatan, srengseng sawah",7,265,300,2018
255,2018-02-06,jakarta selatan,"jakarta selatan, srengseng sawah",8,265,300,2018
256,2018-02-06,jakarta selatan,"jakarta selatan, srengseng sawah",12,265,300,2018
257,2018-02-05,jakarta selatan,"jakarta selatan, bangka",2,0,40,2018
258,2018-02-06,jakarta selatan,"jakarta selatan, bangka",2,0,40,2018
259,2018-02-03,jakarta timur,"jakarta timur, rawa terate",4,0,120,2018
260,2018-02-03,jakarta timur,"jakarta timur, rawa terate",5,0,120,2018
261,2018-02-05,jakarta timur,"jakarta timur, rawa terate",4,0,120,2018
262,2018-02-05,jakarta timur,"jakarta timur, rawa terate",5,0,120,2018
263,2018-02-06,jakarta timur,"jakarta timur, rawa terate",4,0,120,2018
264,2018-02-06,jakarta timur,"jakarta timur, rawa terate",5,0,120,2018
265,2018-02-15,jakarta timur,"jakarta timur, rawa terate",4,0,120,2018
266,2018-02-15,jakarta timur,"jakarta timur, rawa terate",5,0,120,2018
267,2018-02-16,jakarta timur,"jakarta timur, rawa terate",4,0,120,2018
268,2018-02-16,jakarta timur,"jakarta timur, rawa terate",5,0,120,2018
269,2018-02-17,jakarta timur,"jakarta timur, rawa terate",4,0,120,2018
270,2018-02-17,jakarta timur,"jakarta timur, rawa terate",5,0,120,2018
271,2018-02-15,jakarta timur,"jakarta timur, cakung barat",3,56,70,2018
